var1,var2,pearson_corr
สนใจ_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารจึน,-0.008828520413083605
สนใจ_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารจึน,0.14251516559703875
สนใจ_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารจึน,0.055277196163445064
สนใจ_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารจึน,0.1462421077566474
สนใจ_Content_เกี่ยวกับละคร,สนใจ_อาหารจึน,0.25634347560174375
สนใจ_Content_เกี่ยวกับการเมือง,สนใจ_อาหารจึน,-0.06193237764825104
บริโภค_อาหารญี่ปุ่น,สนใจ_อาหารจึน,0.07650406400382267
บริโภค_อาหารจึน,สนใจ_อาหารจึน,0.606384218045458
บริโภค_อาหารไทย,สนใจ_อาหารจึน,-0.14165784038086773
บริโภค_อาหารอีสาน,สนใจ_อาหารจึน,0.00785614716694719
บริโภค_อาหารสุขภาพ,สนใจ_อาหารจึน,0.07733800210074729
บริโภค_บุฟเฟต์,สนใจ_อาหารจึน,0.02506695937750723
บริโภค_ชาบูชาบู,สนใจ_อาหารจึน,0.20475012910860896
บริโภค_ปิ้งย่าง,สนใจ_อาหารจึน,0.14028969006053335
บริโภค_เหล้าเบียร์,สนใจ_อาหารจึน,0.0875609490396096
บริโภค_เสื้อผ้าแฟชั่น,สนใจ_อาหารจึน,-0.03929890452226163
บริโภค_แต่งหน้า,สนใจ_อาหารจึน,-0.11452793291558977
บริโภค_skincare_บำรุงผิว,สนใจ_อาหารจึน,-0.09347997432619384
บริโภค_การออกกำลังกาย,สนใจ_อาหารจึน,-0.0023058415551725038
บริโภค_การเล่นเกมส์,สนใจ_อาหารจึน,-0.26647386010125884
บริโภค_การท่องเที่ยว,สนใจ_อาหารจึน,0.06394914242068196
บริโภค_การอ่านหนังสือ,สนใจ_อาหารจึน,0.05000340916285968
บริโภค_การอ่านบทความ_Online,สนใจ_อาหารจึน,0.2605894169529322
บริโภค_การเรียน_e-learning,สนใจ_อาหารจึน,0.013840105922073583
บริโภค_ดู_Series,สนใจ_อาหารจึน,0.1800328031357333
บริโภค_ดูหนัง,สนใจ_อาหารจึน,0.1744087198182625
บริโภค_ดู_Youtube,สนใจ_อาหารจึน,-0.2083647775012482
บริโภค_ดู_Netflix,สนใจ_อาหารจึน,0.012508272668013435
บริโภค_Content_ด้านบันเทิง,สนใจ_อาหารจึน,0.09936034442797637
บริโภค_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารจึน,-0.20594411377496255
บริโภค_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารจึน,-0.01736496970417005
บริโภค_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารจึน,0.1643115949206221
บริโภค_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารจึน,0.0850968527864322
บริโภค_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารจึน,0.10756229547392399
บริโภค_Content_เกี่ยวกับละคร,สนใจ_อาหารจึน,0.053381713274222795
บริโภค_Content_เกี่ยวกับการเมือง,สนใจ_อาหารจึน,-0.07718997315912127
birth_year,สนใจ_อาหารจึน,-0.2352477047000073
age,สนใจ_อาหารจึน,0.1687416267776453
สนใจ_อาหารญี่ปุ่น,สนใจ_อาหารไทย,0.14560207193531538
สนใจ_อาหารจึน,สนใจ_อาหารไทย,-0.019348054494230642
สนใจ_อาหารไทย,สนใจ_อาหารไทย,1.0
สนใจ_อาหารอีสาน,สนใจ_อาหารไทย,0.5876204734990261
สนใจ_อาหารสุขภาพ,สนใจ_อาหารไทย,0.13950378653318327
สนใจ_บุฟเฟต์,สนใจ_อาหารไทย,0.028238555582881013
สนใจ_ชาบูชาบู,สนใจ_อาหารไทย,0.12232047782204739
สนใจ_ปิ้งย่าง,สนใจ_อาหารไทย,0.012509785497327824
